,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
27,ATALANTA,FIORENTINA,0-1,0-0,5,5.8,6.6,44,56,13,6,24,5,4,28,81,12,22,10,1,0,0,5,6,16,5,7,21,84,9,26,22,4,0,0,0,1,1,0,2014
28,PALERMO,INTER,01-Jan,01-Jan,4.6,6.5,6.1,39,61,7,2,13,4,5,27,72,15,25,16,2,0,0,8,3,13,2,2,30,82,13,31,9,4,0,0,1,1,1,1,2014
29,TORINO,HELLAS,0-1,0-0,4.3,5.4,6.6,48,52,12,4,22,6,11,21,83,13,14,15,3,0,0,6,2,11,3,1,13,82,12,37,8,2,0,0,0,1,1,0,2014
30,EMPOLI,MILAN,02-Feb,02-Jan,8,6.6,6,45,55,5,6,13,2,3,16,76,12,33,13,2,1,0,7,6,15,2,5,20,81,12,23,21,3,0,0,2,2,2,2,2014
31,INTER,ATALANTA,2-0,1-0,5.9,6.7,5.3,44,56,12,6,21,3,6,20,73,21,22,14,1,0,0,7,2,13,4,11,20,81,14,17,15,3,0,0,2,0,0,2,2014
32,FIORENTINA,SASSUOLO,0-0,0-0,2.7,6.8,5.8,72,28,12,2,18,4,11,26,88,34,31,13,2,0,0,4,0,5,1,3,25,66,16,50,12,2,0,0,0,0,0,0,2014
33,JUVENTUS,CESENA,3-0,1-0,5.7,8.4,4.3,71,29,8,13,29,8,6,17,90,15,7,10,0,0,0,0,1,1,0,2,18,66,9,24,14,3,0,0,3,0,0,3,2014
34,PARMA,ROMA,01-Feb,0-1,5.9,5.8,7.3,36,64,1,4,6,1,6,17,74,9,18,15,3,0,0,3,4,12,5,9,23,87,5,11,12,3,0,0,1,2,2,1,2014
35,SAMPDORIA,CHIEVO,02-Jan,1-0,5.5,6.4,5.8,57,43,9,4,16,3,6,24,79,18,37,25,1,0,0,1,3,5,1,1,20,71,13,20,27,3,0,0,2,1,1,2,2014
36,CAGLIARI,TORINO,01-Feb,01-Feb,5.9,6.2,6.9,54,46,3,5,11,3,3,18,81,13,18,14,2,0,0,5,4,12,3,6,21,80,13,33,11,2,0,0,1,2,2,1,2014
37,HELLAS,GENOA,02-Feb,0-1,7.9,5.9,6.9,55,45,6,7,17,4,7,24,79,21,20,13,2,0,0,6,9,16,1,4,18,77,9,42,15,2,0,0,2,2,2,2,2014
38,NAPOLI,PALERMO,03-Mar,03-Feb,9.7,6.4,6.9,60,40,4,8,17,5,6,20,88,14,10,11,1,0,0,3,6,10,1,4,20,80,6,19,10,4,0,0,3,3,3,3,2014
39,LAZIO,UDINESE,0-1,0-1,3.4,5.9,6.3,70,30,13,4,22,5,7,41,84,28,16,18,3,0,0,2,3,7,2,3,32,55,16,58,12,1,0,0,0,1,1,0,2014
40,ROMA,HELLAS,2-0,0-0,5.5,7.4,5.7,71,29,13,5,23,5,10,18,89,10,25,13,1,0,0,3,3,9,3,2,12,76,11,44,4,1,0,0,2,0,0,2,2014
41,ATALANTA,JUVENTUS,0-3,0-1,5.5,4.7,7.9,44,56,6,1,10,3,2,23,78,13,19,17,2,0,0,6,7,16,3,3,19,81,16,21,15,3,0,0,0,3,3,0,2014
42,SASSUOLO,NAPOLI,0-1,0-1,3.2,5.7,7.6,50,50,5,1,11,5,6,23,79,20,31,19,4,0,0,5,3,10,2,6,22,80,12,40,12,2,0,0,0,1,1,0,2014
43,INTER,CAGLIARI,01-Apr,01-Apr,7,4.5,7.8,46,54,4,5,15,6,9,30,80,10,17,22,2,1,0,6,7,16,3,3,17,83,15,37,8,3,0,0,1,4,4,1,2014
44,TORINO,FIORENTINA,01-Jan,0-0,5.1,6,6.7,43,57,8,3,15,4,6,13,81,11,27,14,3,0,0,5,7,19,7,4,22,86,12,13,15,2,0,0,1,1,1,1,2014
45,CHIEVO,EMPOLI,01-Jan,0-0,4.3,6.7,6.2,45,55,9,4,18,5,11,32,74,19,11,20,3,0,0,2,3,6,1,1,24,77,18,53,14,1,0,0,1,1,1,1,2014
46,CESENA,MILAN,01-Jan,01-Jan,4.1,6.8,5.5,40,60,7,2,10,1,4,16,75,13,39,14,4,0,0,4,4,11,3,9,17,81,19,17,12,2,0,1,1,1,1,1,2014
