,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
667,HELLAS,CARPI,01-Feb,0-1,5.8,4.7,7.4,64,36,2,3,8,3,9,21,75,27,13,22,2,1,0,2,5,11,4,6,25,61,22,43,15,3,0,0,1,2,2,1,2015
668,SASSUOLO,UDINESE,01-Jan,0-1,3.5,6.6,6.8,61,39,4,1,13,8,3,29,78,20,13,12,2,0,0,4,3,8,1,3,22,62,25,16,23,4,0,0,1,1,1,1,2015
669,FROSINONE,FIORENTINA,0-0,0-0,4.4,6,6.2,31,69,5,5,14,4,4,24,60,13,25,24,4,0,0,11,6,25,8,4,26,81,13,23,10,4,0,0,0,0,0,0,2015
670,NAPOLI,GENOA,03-Jan,0-1,7.4,7.9,4.9,72,28,5,11,22,6,11,38,85,15,5,8,3,0,0,4,2,9,3,1,19,65,14,46,11,2,0,0,3,1,1,3,2015
671,MILAN,LAZIO,01-Jan,01-Jan,5.3,7,6.1,57,43,9,5,20,6,12,27,78,21,16,9,1,0,0,3,2,9,4,4,18,74,12,30,24,2,1,0,1,1,1,1,2015
672,CARPI,SASSUOLO,01-Mar,01-Feb,5.4,5.3,7.2,42,58,8,1,11,2,7,33,71,10,14,10,3,0,0,1,7,9,1,5,18,81,15,26,20,3,0,0,1,3,3,1,2015
673,JUVENTUS,EMPOLI,1-0,1-0,4.5,6.5,5.9,41,59,6,9,19,4,7,19,82,14,13,20,3,0,0,4,3,9,2,4,15,86,6,17,14,2,0,0,1,0,0,1,2015
674,UDINESE,NAPOLI,03-Jan,02-Jan,6,6.6,4.4,32,68,4,6,11,1,2,17,65,10,18,22,4,0,0,7,2,11,2,6,15,82,8,16,16,5,1,0,3,1,1,3,2015
675,GENOA,FROSINONE,4-0,1-0,5.6,8.6,4.1,60,40,6,9,21,6,11,25,80,22,28,18,1,0,0,6,2,9,1,4,23,65,14,19,13,4,0,0,4,0,0,4,2015
676,FIORENTINA,SAMPDORIA,01-Jan,01-Jan,5.8,7.3,5.8,60,40,7,8,20,5,10,14,86,9,13,9,1,0,0,2,4,8,2,3,15,75,10,24,19,3,1,0,1,1,1,1,2015
677,LAZIO,ROMA,01-Apr,0-1,8.1,4.8,7.6,41,59,10,3,18,5,10,26,75,11,17,14,5,1,0,9,6,17,2,5,20,81,20,27,9,2,0,0,1,4,4,1,2015
678,ATALANTA,MILAN,02-Jan,01-Jan,5.5,6.6,5.9,48,52,2,4,10,4,8,22,76,19,29,22,1,0,0,5,3,12,4,7,20,79,10,26,13,3,0,0,2,1,1,2,2015
679,CHIEVO,PALERMO,03-Jan,01-Jan,5.2,6.8,5.5,50,50,4,4,9,1,0,22,78,9,33,22,2,0,0,8,4,14,2,2,29,85,16,17,16,3,0,0,3,1,1,3,2015
680,INTER,TORINO,01-Feb,1-0,6.3,5.1,6.5,60,40,5,2,10,3,9,19,91,11,6,13,2,1,1,7,3,12,2,2,20,86,5,26,13,5,0,0,1,2,2,1,2015
681,BOLOGNA,HELLAS,0-1,0-1,2.9,5.8,7.3,60,40,3,1,9,5,10,26,81,14,13,17,3,0,0,3,1,4,0,7,24,70,21,34,14,1,0,0,0,1,1,0,2015
682,FROSINONE,INTER,0-1,0-0,4.5,5.1,6.4,36,64,7,2,15,6,4,21,67,20,32,19,6,1,0,11,3,20,6,6,25,83,18,22,14,2,0,0,0,1,1,0,2015
683,CHIEVO,CARPI,1-0,0-0,3.8,6.5,5.6,61,39,11,3,17,3,10,16,79,20,29,15,2,0,0,6,3,13,4,6,31,63,18,28,15,3,0,0,1,0,0,1,2015
684,SASSUOLO,GENOA,0-1,0-1,3.9,5.9,6.7,61,39,11,5,17,1,11,32,79,15,18,13,2,0,0,1,4,9,4,2,21,69,12,45,20,1,0,0,0,1,1,0,2015
685,MILAN,JUVENTUS,01-Feb,01-Jan,6.4,6.1,6.6,44,56,5,5,11,1,2,22,80,9,19,20,4,0,0,4,4,9,1,2,21,84,15,20,21,3,0,0,1,2,2,1,2015
686,EMPOLI,FIORENTINA,2-0,1-0,5.1,7.5,5.6,40,60,2,4,7,1,2,17,79,12,20,17,3,0,0,8,5,22,9,6,21,85,10,12,21,4,0,0,2,0,0,2,2015
687,NAPOLI,HELLAS,3-0,2-0,5.9,8.2,4.8,61,39,7,6,19,6,7,18,88,12,17,6,2,0,0,6,1,8,1,7,16,78,8,16,13,2,0,1,3,0,0,3,2015
688,SAMPDORIA,UDINESE,2-0,0-0,5,6.9,5.5,51,49,8,5,15,2,3,20,78,15,38,13,4,0,0,7,2,16,7,12,22,75,12,23,11,1,0,0,2,0,0,2,2015
689,TORINO,ATALANTA,02-Jan,1-0,6.2,6,5.7,41,59,2,3,5,0,4,9,80,11,28,18,2,0,0,7,7,16,2,6,17,88,18,18,19,4,1,0,2,1,1,2,2015
690,PALERMO,LAZIO,0-3,0-2,5,5,8,32,68,2,2,7,3,5,15,72,17,16,13,2,0,0,6,8,19,5,7,31,86,19,27,14,3,0,0,0,3,3,0,2015
691,ROMA,BOLOGNA,01-Jan,0-1,5,6.8,6,68,32,7,5,14,2,15,21,83,23,11,15,1,0,0,1,2,7,4,3,26,68,22,52,9,2,0,0,1,1,1,1,2015
692,BOLOGNA,TORINO,0-1,0-0,3.7,5.4,7.5,51,49,4,1,8,3,4,29,86,12,15,14,4,0,0,3,3,6,0,3,16,87,9,17,16,1,0,0,0,1,1,0,2015
693,CARPI,GENOA,04-Jan,02-Jan,7,8.2,4.2,49,51,5,9,15,1,3,18,74,23,21,16,4,0,0,7,3,16,6,7,23,75,21,25,22,1,1,0,4,1,1,4,2015
694,INTER,NAPOLI,2-0,2-0,4,7,5.9,36,64,2,4,11,5,6,20,74,17,31,17,4,0,0,5,2,10,3,6,23,87,9,14,11,3,0,0,2,0,0,2,2015
695,ATALANTA,ROMA,03-Mar,02-Feb,9.1,6.4,6.7,34,66,7,4,13,2,7,11,67,19,34,13,5,0,0,8,7,17,2,6,28,85,24,18,8,4,0,0,3,3,3,3,2015
696,JUVENTUS,PALERMO,4-0,1-0,6.1,7.9,5,61,39,8,6,16,2,9,15,86,12,19,14,2,0,0,3,4,10,3,5,29,79,4,12,18,3,0,0,4,0,0,4,2015
697,FIORENTINA,SASSUOLO,03-Jan,1-0,6.1,7.6,5.3,52,48,4,5,13,4,7,19,82,11,21,16,2,0,0,5,1,9,3,6,25,77,8,18,14,3,0,0,3,1,1,3,2015
698,UDINESE,CHIEVO,0-0,0-0,2.9,5.6,6.4,46,54,7,3,15,5,4,28,76,23,15,17,2,0,1,2,2,5,1,2,26,80,22,33,19,4,0,1,0,0,0,0,2015
699,HELLAS,FROSINONE,01-Feb,0-1,6.1,5.3,6.7,57,43,7,5,15,3,4,20,73,24,33,23,3,0,0,6,2,13,5,5,22,62,13,42,22,3,0,0,1,2,2,1,2015
700,LAZIO,EMPOLI,2-0,2-0,4.3,7.1,5.1,47,53,9,7,20,4,5,21,81,10,11,10,3,0,0,2,1,6,3,2,16,83,7,22,9,2,0,0,2,0,0,2,2015
701,SAMPDORIA,MILAN,0-1,0-0,3.3,5.7,6.9,44,56,6,3,10,1,5,30,76,9,20,16,3,0,0,7,3,14,4,7,27,81,12,26,14,2,0,0,0,1,1,0,2015
702,NAPOLI,BOLOGNA,6-0,2-0,7.4,10,3.1,61,39,4,14,20,2,8,23,89,12,9,8,1,0,0,2,0,5,3,2,19,81,20,13,13,2,0,0,6,0,0,6,2015
703,SASSUOLO,SAMPDORIA,0-0,0-0,3.8,6.6,4.6,71,29,13,8,23,2,13,31,84,15,7,13,4,0,0,2,2,4,0,2,22,57,8,36,14,4,1,0,0,0,0,0,2015
704,GENOA,INTER,1-0,0-0,4.2,6.6,6.3,36,64,7,5,16,4,6,31,71,21,25,15,2,0,0,9,4,17,4,5,30,83,17,18,7,2,0,0,1,0,0,1,2015
705,EMPOLI,HELLAS,1-0,0-0,5,7.1,5.2,59,41,3,7,12,2,5,18,85,7,18,16,1,0,0,10,6,21,5,5,28,76,10,13,19,4,1,0,1,0,0,1,2015
706,JUVENTUS,LAZIO,3-0,1-0,5.9,8.5,4.2,55,45,7,12,19,0,10,26,86,9,3,7,1,0,0,4,1,7,2,1,11,83,13,25,12,2,1,0,3,0,0,3,2015
707,ROMA,TORINO,03-Feb,0-1,9.5,6.8,5.3,51,49,9,6,20,5,10,20,84,21,12,13,1,0,0,5,5,13,3,4,27,79,15,23,16,3,0,0,3,2,2,3,2015
708,UDINESE,FIORENTINA,02-Jan,01-Jan,5.6,6.5,5.9,29,71,5,3,10,2,5,18,63,20,39,19,2,0,0,3,3,9,3,4,22,85,20,11,14,4,0,0,2,1,1,2,2015
709,CHIEVO,FROSINONE,05-Jan,01-Jan,6.5,8.5,3.6,66,34,9,8,22,5,6,14,89,15,15,12,2,0,0,4,2,9,3,1,13,79,8,23,14,4,1,1,5,1,1,5,2015
710,PALERMO,ATALANTA,02-Feb,01-Jan,7.4,6.2,6,51,49,4,3,14,7,9,33,77,11,14,23,3,0,1,5,4,11,2,2,14,77,16,35,22,3,0,0,2,2,2,2,2015
711,MILAN,CARPI,0-0,0-0,2.5,6.1,6.7,77,23,7,3,19,9,4,24,89,16,13,17,2,0,0,2,2,6,2,3,13,52,12,24,15,3,0,0,0,0,0,0,2015
712,INTER,UDINESE,03-Jan,01-Jan,7.6,7.4,5.3,65,35,5,9,25,11,14,29,86,18,22,7,3,0,0,6,5,12,1,6,23,75,23,34,13,2,0,0,3,1,1,3,2015
713,FROSINONE,PALERMO,0-2,0-0,4.1,5.9,6.7,53,47,8,4,16,4,9,34,69,22,22,17,3,0,0,3,2,7,2,4,26,69,15,40,19,3,0,0,0,2,2,0,2015
714,ATALANTA,CHIEVO,1-0,0-0,3.7,6.4,5.9,44,56,3,5,11,3,8,30,71,15,23,12,3,0,1,5,2,10,3,6,30,78,9,22,18,2,0,0,1,0,0,1,2015
715,SAMPDORIA,LAZIO,02-Jan,01-Jan,6.8,6.6,5.3,41,59,4,7,13,2,4,21,75,14,25,9,2,0,0,10,4,20,6,12,18,82,5,18,14,6,0,0,2,1,1,2,2015
716,TORINO,SASSUOLO,01-Mar,01-Jan,6.3,5.3,7.5,50,50,10,3,15,2,4,18,80,17,16,18,2,0,0,4,4,12,4,4,24,81,7,12,7,1,0,0,1,3,3,1,2015
717,BOLOGNA,GENOA,2-0,1-0,4.1,7,5.8,43,57,3,5,11,3,7,23,79,12,22,16,1,0,0,2,3,5,0,3,20,84,17,22,17,2,0,0,2,0,0,2,2015
718,FIORENTINA,JUVENTUS,01-Feb,0-1,7,6.3,6.1,62,38,9,7,21,5,5,21,89,7,7,10,1,0,0,2,3,6,1,3,13,83,5,32,15,3,0,0,1,2,2,1,2015
719,ROMA,NAPOLI,1-0,0-0,3.8,6.5,6.5,47,53,4,3,9,2,4,24,79,5,16,10,3,0,0,4,4,9,1,5,23,83,14,25,12,4,0,0,1,0,0,1,2015
720,HELLAS,MILAN,02-Jan,0-1,7.3,7.2,5.6,37,63,4,12,28,12,13,23,67,8,18,19,1,0,0,3,6,11,2,6,15,81,11,47,11,2,0,0,2,1,1,2,2015
721,CARPI,EMPOLI,1-0,0-0,4.1,6.3,5.6,43,57,11,3,16,2,7,21,75,20,17,23,4,1,0,4,3,8,1,3,28,82,16,26,13,4,0,1,1,0,0,1,2015
722,UDINESE,TORINO,01-May,0-2,6.3,4.6,8.2,42,58,7,4,13,2,8,20,82,8,10,14,2,0,0,4,6,15,5,4,16,88,9,29,9,2,0,0,1,5,5,1,2015
723,CHIEVO,FIORENTINA,0-0,0-0,3.8,6.3,6.3,37,63,3,4,8,1,2,18,75,7,24,20,4,0,0,10,5,20,5,6,19,87,10,20,13,4,0,0,0,0,0,0,2015
724,JUVENTUS,CARPI,2-0,1-0,4,6.6,6,72,28,9,3,19,7,5,21,89,18,15,19,6,0,0,7,1,11,3,2,22,71,9,25,12,2,0,0,2,0,0,2,2015
725,MILAN,FROSINONE,03-Mar,0-2,10,6.4,5.4,72,28,8,11,24,5,12,14,85,30,10,22,2,0,0,3,4,9,2,2,19,62,13,33,22,7,0,0,3,3,3,3,2015
726,PALERMO,SAMPDORIA,2-0,1-0,4.3,7.7,5,36,64,3,4,10,3,3,23,73,11,24,21,1,0,0,2,4,8,2,5,17,83,7,19,23,6,0,0,2,0,0,2,2015
727,EMPOLI,BOLOGNA,0-0,0-0,2.3,6.4,6.5,58,42,2,1,5,2,0,24,85,8,15,7,0,0,0,5,5,16,6,3,16,80,5,11,14,2,0,0,0,0,0,0,2015
728,SASSUOLO,HELLAS,1-0,0-0,2.9,6.9,6.2,54,46,3,1,6,2,2,22,78,12,23,11,0,0,0,9,2,16,5,9,21,77,16,12,21,1,0,0,1,0,0,1,2015
729,LAZIO,INTER,2-0,1-0,4.7,7,5.4,45,55,4,4,9,1,1,13,81,11,17,17,5,0,0,3,4,15,8,5,24,85,13,16,11,1,1,0,2,0,0,2,2015
730,GENOA,ROMA,02-Mar,01-Jan,9,5,7.5,37,63,7,5,14,2,6,16,75,9,30,9,3,0,0,8,9,20,3,9,16,85,15,15,9,3,0,0,2,3,3,2,2015
731,NAPOLI,ATALANTA,02-Jan,1-0,6.3,7.2,5.7,59,41,7,10,18,1,5,29,87,12,12,13,0,0,0,2,2,4,0,3,22,78,8,26,10,2,0,0,2,1,1,2,2015
732,INTER,EMPOLI,02-Jan,02-Jan,5.4,6.4,6.3,43,57,4,5,13,4,4,26,76,9,17,17,3,0,0,7,2,14,5,8,20,85,9,19,10,1,0,0,2,1,1,2,2015
733,BOLOGNA,MILAN,0-1,0-1,3.8,5,7.2,38,62,4,1,8,3,5,19,76,10,27,11,4,1,0,4,5,15,6,9,21,86,13,27,18,5,0,0,0,1,1,0,2015
734,ROMA,CHIEVO,3-0,2-0,6.6,7.8,4.9,65,35,7,11,23,5,7,18,90,16,7,15,1,0,0,4,4,11,3,2,14,79,10,19,8,3,0,0,3,0,0,3,2015
735,FIORENTINA,PALERMO,0-0,0-0,2.7,6.5,6,72,28,9,4,21,8,7,14,90,8,14,16,3,0,0,3,0,4,1,1,21,67,8,28,20,4,0,0,0,0,0,0,2015
736,ATALANTA,UDINESE,01-Jan,01-Jan,3.5,6.7,6.3,65,35,2,2,8,4,3,29,86,11,25,11,1,0,0,2,2,4,0,0,23,76,10,25,18,2,0,0,1,1,1,1,2015
737,SAMPDORIA,GENOA,0-3,0-2,5.5,4.8,7.8,57,43,8,3,12,1,4,17,76,16,14,20,5,0,0,8,7,18,3,4,19,73,12,19,20,4,0,0,0,3,3,0,2015
738,FROSINONE,SASSUOLO,0-1,0-0,4.7,5.4,6.3,37,63,11,4,18,3,2,29,67,14,28,16,4,0,0,8,5,21,8,8,19,80,14,12,20,4,0,0,0,1,1,0,2015
739,CARPI,LAZIO,01-Mar,0-2,8.6,5.1,5.8,53,47,10,9,26,7,9,21,77,20,15,19,5,0,0,5,7,16,4,5,26,81,11,33,11,3,1,1,1,3,3,1,2015
740,TORINO,NAPOLI,01-Feb,0-2,5.9,5.3,7.1,39,61,1,2,7,4,1,16,82,7,13,23,4,1,0,6,6,15,3,3,26,88,10,12,5,1,0,0,1,2,2,1,2015
741,HELLAS,JUVENTUS,02-Jan,1-0,7.2,6.6,5.4,41,59,4,4,12,4,3,14,76,12,20,21,3,0,0,6,5,16,5,6,11,86,10,30,13,3,1,0,2,1,1,2,2015
742,JUVENTUS,SAMPDORIA,5-0,3-0,7.4,9.5,3.5,66,34,8,12,24,4,13,16,91,7,14,16,3,0,0,3,1,7,3,2,11,78,0,20,4,1,0,1,5,0,0,5,2015
743,NAPOLI,FROSINONE,4-0,1-0,6.9,9.1,4.2,75,25,11,12,33,10,16,27,91,6,4,9,1,0,0,5,2,9,2,0,9,75,9,45,7,1,0,1,4,0,0,4,2015
744,MILAN,ROMA,01-Mar,0-1,7.4,5.1,7.6,35,65,7,6,14,1,4,15,79,6,12,13,4,0,0,5,9,16,2,1,27,88,9,19,7,0,0,0,1,3,3,1,2015
745,SASSUOLO,INTER,03-Jan,03-Jan,6.2,6.7,5.9,47,53,3,3,9,3,5,22,82,8,15,8,3,0,0,4,6,11,1,7,20,84,13,15,12,4,1,0,3,1,1,3,2015
746,EMPOLI,TORINO,02-Jan,1-0,6.7,7.2,5.6,47,53,3,3,10,4,3,12,84,7,15,12,2,0,0,9,5,18,4,4,23,88,6,13,12,1,0,0,2,1,1,2,2015
747,CHIEVO,BOLOGNA,0-0,0-0,2.4,6.2,6.4,46,54,2,1,5,3,5,24,81,11,20,16,2,0,0,8,4,16,4,7,16,85,13,25,15,1,0,0,0,0,0,0,2015
748,GENOA,ATALANTA,01-Feb,0-0,5.6,5.7,6.9,53,47,8,2,11,1,7,21,81,18,24,19,3,0,0,6,3,13,4,5,16,77,12,19,14,3,0,0,1,2,2,1,2015
749,LAZIO,FIORENTINA,02-Apr,01-Mar,8.3,5.6,7.3,45,55,8,6,16,2,6,21,81,5,13,8,0,0,0,7,5,16,4,4,20,83,7,37,10,1,0,0,2,4,4,2,2015
750,UDINESE,CARPI,01-Feb,0-2,6.4,4.3,7.4,52,48,5,5,15,5,6,19,78,23,14,14,3,0,1,3,5,10,2,3,18,76,10,40,17,3,0,0,1,2,2,1,2015
751,PALERMO,HELLAS,03-Feb,1-0,8.6,7.1,4.8,37,63,2,3,5,0,4,11,78,6,18,18,2,0,1,3,4,14,7,4,24,87,9,21,19,2,0,1,3,2,2,3,2015
752,SASSUOLO,ATALANTA,02-Feb,02-Feb,8.3,6.1,5.5,61,39,0,9,10,1,4,32,84,11,14,21,4,1,0,3,4,9,2,2,13,73,9,19,19,5,1,0,2,2,2,2,2015
753,LAZIO,GENOA,2-0,1-0,4.9,6.9,5.2,57,43,5,3,10,2,10,22,85,19,6,19,4,0,0,6,3,10,1,3,16,77,11,24,12,3,1,1,2,0,0,2,2015
754,BOLOGNA,UDINESE,01-Feb,1-0,5.4,5.9,7.2,53,47,4,3,12,5,6,29,77,15,17,12,4,0,0,5,3,11,3,4,31,72,16,37,13,3,0,0,1,2,2,1,2015
755,CARPI,TORINO,02-Jan,0-0,5.7,6.7,5.2,41,59,2,3,7,2,2,18,81,11,26,10,2,0,0,7,3,13,3,5,21,87,22,11,19,1,0,0,2,1,1,2,2015
756,CHIEVO,HELLAS,01-Jan,0-0,5.4,6.6,6,52,48,8,7,17,2,5,17,79,13,15,22,3,0,0,5,3,10,2,5,16,72,19,22,12,0,0,0,1,1,1,1,2015
757,UDINESE,GENOA,01-Jan,0-0,4.8,5.8,6.9,32,68,4,3,9,2,2,31,62,19,24,12,2,0,0,6,7,19,6,10,20,86,23,24,17,1,0,0,1,1,1,1,2015
758,EMPOLI,LAZIO,1-0,1-0,3.5,6.9,5.8,37,63,2,1,5,2,3,18,69,14,45,15,4,0,0,5,5,16,6,8,15,82,17,19,18,0,0,0,1,0,0,1,2015
759,PALERMO,UDINESE,04-Jan,1-0,7.6,7.7,4.9,42,58,6,8,16,2,7,18,75,17,32,9,2,0,0,10,9,20,1,7,20,83,24,14,6,3,0,0,4,1,1,4,2015
760,ROMA,UDINESE,4-0,0-0,6.3,8.9,3.7,72,28,11,9,25,5,10,13,90,17,18,8,0,0,0,5,1,11,5,5,13,74,12,24,14,2,0,0,4,0,0,4,2016
761,JUVENTUS,FIORENTINA,02-Jan,1-0,5.3,7,5.6,54,46,9,4,19,6,2,24,88,12,7,11,1,0,0,2,1,4,1,1,17,85,7,26,16,3,0,0,2,1,1,2,2016
762,MILAN,TORINO,03-Feb,1-0,9,6.2,5.1,51,49,2,5,11,4,10,15,79,9,27,13,1,1,0,10,4,21,7,10,21,82,16,23,20,3,0,0,3,2,2,3,2016
763,GENOA,CAGLIARI,03-Jan,0-0,6.8,7.4,5.6,71,29,11,6,22,5,6,30,89,18,14,13,4,0,0,1,3,4,0,1,23,66,8,18,10,3,0,0,3,1,1,3,2016
764,PESCARA,NAPOLI,02-Feb,2-0,7.7,6.4,6.4,42,58,3,3,9,3,3,12,83,10,27,10,3,0,0,10,4,22,8,9,19,90,10,9,12,2,0,0,2,2,2,2,2016
765,EMPOLI,SAMPDORIA,0-1,0-1,3.6,5.3,6.3,53,47,5,3,8,0,2,26,78,10,18,17,3,0,1,6,5,16,5,5,25,75,10,15,32,4,0,0,0,1,1,0,2016
766,ATALANTA,LAZIO,03-Apr,0-3,10,5.6,7.1,70,30,6,5,18,7,7,25,87,13,15,5,2,0,0,3,6,11,2,2,17,69,15,37,16,2,0,0,3,4,4,3,2016
767,CHIEVO,INTER,2-0,0-0,4.7,7.5,5.5,34,66,5,4,12,3,4,22,74,12,20,15,2,0,0,8,3,13,2,8,16,86,15,14,13,4,0,0,2,0,0,2,2016
768,BOLOGNA,CROTONE,1-0,0-0,4.2,7.2,5.3,47,53,10,6,20,4,5,22,81,20,24,7,1,0,0,3,0,5,2,3,24,81,12,24,17,1,0,0,1,0,0,1,2016
769,PALERMO,SASSUOLO,0-1,0-1,4.3,5.4,7.2,41,59,3,2,7,2,4,20,76,12,30,19,2,1,0,5,8,22,9,8,20,84,13,17,15,2,0,0,0,1,1,0,2016
770,LAZIO,JUVENTUS,0-1,0-0,3.1,6,7.7,53,47,1,1,6,4,4,22,80,13,12,16,1,0,0,5,5,13,3,2,21,84,14,25,5,2,0,0,0,1,1,0,2016
771,NAPOLI,MILAN,04-Feb,2-0,9.4,7.3,4.3,58,42,4,8,17,5,9,18,86,8,9,13,5,0,0,6,3,12,3,4,15,80,12,32,15,4,1,1,4,2,2,4,2016
772,INTER,PALERMO,01-Jan,0-0,4.7,6.3,6.9,68,32,13,5,22,4,8,20,85,19,9,16,1,0,0,3,3,7,1,4,24,69,17,34,24,5,0,0,1,1,1,1,2016
773,CAGLIARI,ROMA,02-Feb,0-1,8.3,5.6,6.3,49,51,7,5,18,6,4,17,84,16,24,21,3,0,0,10,7,21,4,3,21,81,16,29,9,1,0,0,2,2,2,2,2016
774,TORINO,BOLOGNA,05-Jan,02-Jan,7.4,8.3,4.2,48,52,4,11,20,5,6,16,82,7,8,14,1,0,0,6,2,10,2,3,24,84,4,18,12,2,0,0,5,1,1,5,2016
775,CROTONE,GENOA,01-Mar,1-0,6.4,4.9,7.1,46,54,8,3,11,0,1,32,69,11,20,16,2,0,0,9,8,18,1,6,15,78,20,24,17,2,0,0,1,3,3,1,2016
776,FIORENTINA,CHIEVO,1-0,1-0,3.3,6.4,6.1,59,41,6,3,13,4,4,22,85,20,21,8,0,0,0,5,2,9,2,4,25,78,11,16,16,2,0,0,1,0,0,1,2016
777,UDINESE,EMPOLI,2-0,1-0,4.9,6.5,5.9,39,61,6,3,11,2,4,14,72,13,30,15,3,0,0,3,4,13,6,5,23,83,17,36,19,3,0,1,2,0,0,2,2016
778,SAMPDORIA,ATALANTA,02-Jan,02-Jan,5.4,7.1,5.4,57,43,4,4,8,0,3,29,87,4,12,13,1,0,0,5,1,7,1,1,21,84,8,30,16,5,1,0,2,1,1,2,2016
779,JUVENTUS,SASSUOLO,03-Jan,03-Jan,7.1,7.7,4.8,69,31,7,10,23,6,14,19,87,10,13,10,1,0,0,4,3,9,2,5,18,66,9,25,12,2,0,0,3,1,1,3,2016
780,PALERMO,NAPOLI,0-3,0-0,4.8,5.1,8.2,39,61,1,1,5,3,2,20,86,6,24,14,0,0,0,6,7,17,4,4,20,92,5,12,7,0,0,0,0,3,3,0,2016
781,BOLOGNA,CAGLIARI,02-Jan,1-0,7,7.3,5.2,46,54,2,10,17,5,9,13,82,11,21,13,1,0,0,6,5,11,0,4,21,82,8,12,9,3,0,1,2,1,1,2,2016
782,ROMA,SAMPDORIA,03-Feb,01-Feb,9.1,7,5.7,59,41,11,8,24,5,11,34,81,14,16,12,3,0,0,1,7,12,4,7,24,76,4,34,13,1,0,0,3,2,2,3,2016
783,MILAN,UDINESE,0-1,0-0,4.1,6.2,6.9,64,36,5,2,14,7,8,17,89,14,20,10,1,0,0,3,2,10,5,8,17,77,15,35,9,5,0,0,0,1,1,0,2016
784,ATALANTA,TORINO,02-Jan,0-0,6.2,6.4,5.8,49,51,12,3,22,7,4,29,77,6,46,16,2,0,0,5,7,14,2,4,25,78,12,42,20,2,0,0,2,1,1,2,2016
785,CHIEVO,LAZIO,01-Jan,0-0,4.2,6.8,5.8,52,48,2,4,7,1,2,16,80,25,13,14,2,0,0,6,3,11,2,1,30,78,14,12,15,5,0,0,1,1,1,1,2016
786,PESCARA,INTER,01-Feb,0-0,6.8,5.7,7.2,37,63,4,5,10,1,3,19,77,13,36,14,1,0,0,8,7,22,7,13,31,86,18,10,10,1,0,0,1,2,2,1,2016
787,EMPOLI,CROTONE,02-Jan,01-Jan,4.9,6.8,5.7,54,46,6,4,13,3,5,35,80,17,17,16,1,0,0,2,2,6,2,0,23,70,17,27,20,2,1,0,2,1,1,2,2016
788,GENOA,FIORENTINA,1-0,1-0,3.5,6.7,5.7,40,60,6,5,11,1,4,21,68,16,13,24,3,0,0,5,2,8,1,3,17,77,14,16,14,2,0,0,1,0,0,1,2016
789,SAMPDORIA,MILAN,0-1,0-0,4.1,6.2,6.4,52,48,5,3,12,4,8,25,80,8,19,12,2,0,0,2,3,10,5,5,28,79,12,27,16,3,0,0,0,1,1,0,2016
790,LAZIO,PESCARA,3-0,0-0,5.9,8,4.6,55,45,5,11,23,7,11,27,83,11,16,12,2,0,0,3,3,10,4,2,19,79,18,29,14,2,0,0,3,0,0,3,2016
791,NAPOLI,BOLOGNA,03-Jan,1-0,6.9,7.8,4.9,61,39,7,10,21,4,6,24,91,7,14,11,0,0,0,2,3,8,3,3,15,82,4,18,7,1,0,1,3,1,1,3,2016
792,UDINESE,CHIEVO,01-Feb,1-0,6.7,4.9,7.2,34,66,2,4,8,2,4,19,68,14,40,16,3,0,0,8,6,20,6,7,26,86,23,14,19,4,0,0,1,2,2,1,2016
793,CAGLIARI,ATALANTA,3-0,1-0,5.6,8.1,4.6,42,58,2,9,13,2,2,22,73,20,30,10,2,0,0,5,2,7,0,4,34,82,10,25,19,2,0,0,3,0,0,3,2016
794,TORINO,EMPOLI,0-0,0-0,3.1,6,6.6,45,55,8,5,14,1,8,27,75,16,23,19,4,0,0,3,2,5,0,5,20,80,15,26,7,3,0,0,0,0,0,0,2016
795,SASSUOLO,GENOA,2-0,0-0,5.2,7.2,5.3,45,55,4,6,12,2,3,25,74,19,23,15,0,0,0,8,5,17,4,8,31,77,15,12,17,3,1,0,2,0,0,2,2016
796,CROTONE,PALERMO,01-Jan,1-0,4,6.1,7.3,30,70,6,1,12,5,3,21,63,15,21,19,3,0,0,5,5,12,2,7,27,85,17,37,9,2,0,0,1,1,1,1,2016
797,INTER,JUVENTUS,02-Jan,0-0,6,6.6,5.4,48,52,9,3,16,4,5,26,79,22,18,13,3,1,0,4,2,9,3,4,9,82,16,23,18,3,0,0,2,1,1,2,2016
798,FIORENTINA,ROMA,1-0,0-0,3.9,6.9,6.3,46,54,2,4,8,2,5,24,79,14,33,10,1,0,0,7,3,14,4,6,25,83,12,20,11,1,0,0,1,0,0,1,2016
